
*---------- Result file number [0] ----------*
  * File name   : C:\Users\gmdms\Desktop\측정 데이터\EIS\240207 SOC별 EIS 테스트 (충방전기)\240206 SOC별 EIS 테스트 (포텐시오스텟)\Potentiostat_SOC vs EIS_1_01.SDE
  * Device Information : Channel 1 [Device 2, Device channel 1]  * Data version : 0001  * Test duration : 2024/02/06 17:52:28 ~ 2024/02/07 15:55:05
      -> Current convention : Anodic )  * Channel : 1 (Device : 2<R04BA2311016>, Device channel : 1 )
  * Firmware version : USB( 6.7.4.0 ) , FPGA( 6.7.4.3 ) , DSP( 6.7.4.7 )
  * Flow status : READY , Error status : NONE  * Data count : 1649
  * Sequence file : C:\ZIVE DATA\SM6\schedule\3.0-4.3 SoC vs EIS (CCCV).ZSC
  * Tester : 
  * Memo : 

---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                File Number	                List Number	                  Frequency	                      Zreal	                       -Zim	
                           	                           	                         Hz	                        Ohm	                        Ohm	
---------------------------	---------------------------	---------------------------	---------------------------	---------------------------	
                          1	                        208	1.46780000000e+004	3.03498363495e+000	7.39742696285e-001	
                          1	                        209	1.00000000000e+004	3.21327114105e+000	7.80904352665e-001	
                          1	                        210	6.81289990234e+003	3.39864802361e+000	8.28026771545e-001	
                          1	                        211	4.64160009766e+003	3.59209132195e+000	8.87250959873e-001	
                          1	                        212	3.16230004883e+003	3.79921746254e+000	9.60574865341e-001	
                          1	                        213	2.15439990234e+003	4.02768707275e+000	1.04961895943e+000	
                          1	                        214	1.46780004883e+003	4.28211164474e+000	1.15320134163e+000	
                          1	                        215	1.00000000000e+003	4.57003498077e+000	1.26644957066e+000	
                          1	                        216	6.81289978027e+002	4.89581012726e+000	1.38320982456e+000	
                          1	                        217	4.64160003662e+002	5.25966262817e+000	1.49543869495e+000	
                          1	                        218	3.16230010986e+002	5.66083192825e+000	1.59371328354e+000	
                          1	                        219	2.15440002441e+002	6.09312105179e+000	1.67079079151e+000	
                          1	                        220	1.46779998779e+002	6.54638290405e+000	1.72134435177e+000	
                          1	                        221	1.00000000000e+002	7.01933717728e+000	1.74227821827e+000	
                          1	                        222	6.81289978027e+001	7.50044059753e+000	1.72036576271e+000	
                          1	                        223	4.64160003662e+001	7.98648452759e+000	1.63047754765e+000	
                          1	                        224	3.16229991913e+001	8.43347549438e+000	1.50319004059e+000	
                          1	                        225	2.15440006256e+001	8.81997394562e+000	1.32699334621e+000	
                          1	                        226	1.46780004501e+001	9.12962436676e+000	1.13089215755e+000	
                          1	                        227	1.00000000000e+001	9.36067867279e+000	9.44847583771e-001	
                          1	                        228	6.81290006638e+000	9.52983093262e+000	7.91883826256e-001	
